"ID","Study_Group","Gender","CCT_Condition","CCT_Round_Tria_Num","CCT_Round_Block","CCT_Round_Time","CCT_Task_Type","CCT_Round_WinValue","CCT_Round_LossValue","CCT_Round_LossNum","CCT_AdvantageousLevel","CCT_NumCardChosen","CCT_Censored","CCT_Score","CCT_Timespent_Seconds","card1","card2","card3","card4","card5","card6","card7","card8","card9","card10","card11","card12","card13","card14","card15","card16","card17","card18","card19","card20","card21","card22","card23","card24","card25","card26","card27","card28","card29","card30","card31","card32"
1,"Health Adolescents","Female","H1-H2-C",1,1,"26/11/2013 20:18","Hot1",30,750,3,2,9,9,-510,60,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",2,1,"26/11/2013 20:19","Hot1",30,750,1,7,15,15,-330,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",3,1,"26/11/2013 20:20","Hot1",10,250,1,6,11,11,-150,44,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",4,1,"26/11/2013 20:20","Hot1",30,250,3,5,4,4,-160,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",5,1,"26/11/2013 20:22","Hot1",30,250,1,8,23,23,410,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",6,1,"26/11/2013 20:23","Hot1",10,750,3,1,14,14,-620,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",7,1,"26/11/2013 20:23","Hot1",10,250,3,3,2,2,-240,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",8,1,"26/11/2013 20:24","Hot1",10,750,1,4,9,9,-670,35,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",9,2,"26/11/2013 20:24","Hot1",10,750,1,4,9,9,-670,31,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",10,2,"26/11/2013 20:25","Hot1",10,750,3,1,4,4,-720,25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",11,2,"26/11/2013 20:25","Hot1",30,250,3,5,5,5,-130,19,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",12,2,"26/11/2013 20:26","Hot1",30,750,1,7,13,13,-390,46,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",13,2,"26/11/2013 20:26","Hot1",10,250,3,3,1,1,-250,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",14,2,"26/11/2013 20:27","Hot1",30,250,1,8,22,22,380,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",15,2,"26/11/2013 20:28","Hot1",10,250,1,6,25,25,-10,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",16,2,"26/11/2013 20:29","Hot1",30,750,3,2,14,14,-360,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",17,3,"26/11/2013 20:29","Hot1",30,750,3,2,3,3,-690,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",18,3,"26/11/2013 20:30","Hot1",10,250,1,6,25,25,-10,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",19,3,"26/11/2013 20:30","Hot1",30,250,1,8,10,10,20,22,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",20,3,"26/11/2013 20:30","Hot1",30,250,3,5,3,3,-190,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",21,3,"26/11/2013 20:31","Hot1",10,250,3,3,14,14,-120,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",22,3,"26/11/2013 20:32","Hot1",10,750,3,1,11,11,-650,29,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",23,3,"26/11/2013 20:32","Hot1",10,750,1,4,8,8,-680,17,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Health Adolescents","Female","H1-H2-C",24,3,"26/11/2013 20:32","Hot1",30,750,1,7,16,16,-300,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",1,1,"28/11/2013 19:34","Hot1",10,250,3,3,15,15,-110,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",2,1,"28/11/2013 19:34","Hot1",30,750,3,2,2,2,-720,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",3,1,"28/11/2013 19:35","Hot1",30,250,3,5,7,0,210,60,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",4,1,"28/11/2013 19:36","Hot1",10,250,1,6,6,0,60,38,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",5,1,"28/11/2013 19:37","Hot1",10,750,3,1,9,9,-670,37,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",6,1,"28/11/2013 19:37","Hot1",30,250,1,8,6,0,180,27,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",7,1,"28/11/2013 19:37","Hot1",10,750,1,4,1,1,-750,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",8,1,"28/11/2013 19:38","Hot1",30,750,1,7,6,0,180,28,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",9,2,"28/11/2013 19:39","Hot1",10,250,1,6,13,0,130,87,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",10,2,"28/11/2013 19:40","Hot1",10,750,1,4,20,0,200,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",11,2,"28/11/2013 19:42","Hot1",30,750,1,7,15,0,450,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",12,2,"28/11/2013 19:42","Hot1",10,750,3,1,1,1,-750,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",13,2,"28/11/2013 19:43","Hot1",30,750,3,2,11,11,-450,47,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",14,2,"28/11/2013 19:44","Hot1",30,250,3,5,10,0,300,43,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",15,2,"28/11/2013 19:44","Hot1",10,250,3,3,1,1,-250,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",16,2,"28/11/2013 19:44","Hot1",30,250,1,8,12,0,360,32,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",17,3,"28/11/2013 19:45","Hot1",10,750,3,1,17,17,-590,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",18,3,"28/11/2013 19:45","Hot1",10,750,1,4,7,7,-690,19,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",19,3,"28/11/2013 19:46","Hot1",10,250,1,6,16,16,-100,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",20,3,"28/11/2013 19:46","Hot1",30,250,1,8,7,0,210,16,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Health Adolescents","Male","H1-H2-C",21,3,"28/11/2013 19:46","Hot1",30,750,3,2,10,0,300,24,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
